ALARM_NUMBER,ALARM_TYPE,SEVERITY,ALARM_TIME,CANCEL_STATE,CANCEL_TIME,NAME,CONSECUTIVE_NUMBER,ALARM_INSERTION_TIME,ALARM_UPDATE_TIME
7706,,Major,7/9/2020 8:55,TRUE,7/9/2020 8:56,2G_KLK020,,,
7706,,Major,7/9/2020 8:55,TRUE,7/9/2020 8:55,2G_KLK036,,,
7706,,Major,7/9/2020 8:54,TRUE,7/9/2020 8:54,2G_KLK020,,,
7706,,Major,7/9/2020 8:53,TRUE,7/9/2020 8:53,2G_KLK020,,,
7706,,Major,7/9/2020 8:51,TRUE,7/9/2020 8:51,2G_KLK020,,,
7706,,Major,7/9/2020 8:49,TRUE,7/9/2020 8:50,2G_KLK020,,,
7706,,Major,7/9/2020 8:48,TRUE,7/9/2020 8:49,2G_KLK036,,,
7786,,Major,7/9/2020 8:47,TRUE,7/9/2020 8:47,3G_ZG002,,,
7786,,Major,7/9/2020 8:47,TRUE,7/9/2020 8:48,3G_ZG050,,,
7786,,Major,7/9/2020 8:47,TRUE,7/9/2020 8:47,3G_ZG052,,,
7786,,Major,7/9/2020 8:47,TRUE,7/9/2020 8:47,3G_ZG001,,,
7786,,Major,7/9/2020 8:47,TRUE,7/9/2020 8:47,3G_ZG004,,,
7786,,Major,7/9/2020 8:47,TRUE,7/9/2020 8:47,3G_ZG051,,,
7706,,Major,7/9/2020 8:46,TRUE,7/9/2020 8:47,2G_KLK020,,,
7706,,Major,7/9/2020 8:44,TRUE,7/9/2020 8:46,2G_KLK020,,,
7706,,Major,7/9/2020 8:42,TRUE,7/9/2020 8:43,2G_KLK020,,,
7706,,Major,7/9/2020 8:41,TRUE,7/9/2020 8:42,2G_KLK020,,,
7706,,Major,7/9/2020 8:39,TRUE,7/9/2020 8:40,2G_KLK020,,,
7706,,Major,7/9/2020 8:38,TRUE,7/9/2020 8:38,2G_KLK020,,,
7706,,Major,7/9/2020 8:33,TRUE,7/9/2020 8:37,2G_KLK020,,,
7786,,Major,7/9/2020 8:30,TRUE,7/9/2020 8:31,3G_ZG052,,,
7786,,Major,7/9/2020 8:30,TRUE,7/9/2020 8:31,3G_ZG002,,,
7786,,Major,7/9/2020 8:30,TRUE,7/9/2020 8:31,3G_ZG051,,,
7706,,Major,7/9/2020 8:29,TRUE,7/9/2020 8:32,2G_KLK020,,,
7786,,Major,7/9/2020 8:29,TRUE,7/9/2020 8:29,3G_ZG004,,,
7786,,Major,7/9/2020 8:29,TRUE,7/9/2020 8:29,3G_ZG050,,,
7786,,Major,7/9/2020 8:29,TRUE,7/9/2020 8:29,3G_ZG001,,,
7786,,Major,7/9/2020 8:29,TRUE,7/9/2020 8:29,3G_ZG002,,,
7786,,Major,7/9/2020 8:29,TRUE,7/9/2020 8:29,3G_ZG052,,,
7786,,Major,7/9/2020 8:29,TRUE,7/9/2020 8:29,3G_ZG051,,,
7706,,Major,7/9/2020 8:27,TRUE,7/9/2020 8:28,2G_KLK020,,,
7706,,Major,7/9/2020 8:23,TRUE,7/9/2020 8:23,2G_KLK020,,,
7706,,Major,7/9/2020 8:21,TRUE,7/9/2020 8:22,2G_KLK020,,,
7706,,Major,7/9/2020 8:18,TRUE,7/9/2020 8:20,2G_KLK020,,,
7706,,Major,7/9/2020 8:17,TRUE,7/9/2020 8:18,2G_KLK020,,,
7706,,Major,7/9/2020 8:15,TRUE,7/9/2020 8:15,2G_KLK020,,,
7706,,Major,7/9/2020 8:14,TRUE,7/9/2020 8:14,2G_KLK020,,,
7706,,Major,7/9/2020 8:12,TRUE,7/9/2020 8:13,2G_KLK020,,,
7706,,Major,7/9/2020 8:09,TRUE,7/9/2020 8:12,2G_KLK020,,,
7706,,Major,7/9/2020 8:08,TRUE,7/9/2020 8:08,2G_KLK020,,,
7706,,Major,7/9/2020 8:03,TRUE,7/9/2020 8:06,2G_KLK020,,,
7706,,Major,7/9/2020 8:03,TRUE,7/9/2020 8:03,2G_KLK020,,,
7706,,Major,7/9/2020 8:01,TRUE,7/9/2020 8:02,2G_KLK020,,,
7706,,Major,7/9/2020 7:59,TRUE,7/9/2020 8:00,2G_KLK020,,,
7706,,Major,7/9/2020 7:57,TRUE,7/9/2020 7:58,2G_KLK020,,,
7706,,Major,7/9/2020 7:55,TRUE,7/9/2020 7:56,2G_KLK020,,,
7706,,Major,7/9/2020 7:53,TRUE,7/9/2020 7:54,2G_KLK020,,,
7706,,Major,7/9/2020 7:51,TRUE,7/9/2020 7:52,2G_KLK020,,,
7706,,Major,7/9/2020 7:49,TRUE,7/9/2020 7:50,2G_KLK020,,,
7706,,Major,7/9/2020 7:48,TRUE,7/9/2020 7:48,2G_KLK020,,,
7706,,Major,7/9/2020 7:45,TRUE,7/9/2020 7:47,2G_KLK020,,,
7706,,Major,7/9/2020 7:43,TRUE,7/9/2020 7:44,2G_KLK020,,,
7706,,Major,7/9/2020 7:41,TRUE,7/9/2020 7:42,2G_KLK020,,,
7706,,Major,7/9/2020 7:40,TRUE,7/9/2020 7:40,2G_KLK020,,,
7706,,Major,7/9/2020 7:39,TRUE,7/9/2020 7:39,2G_KLK020,,,
7706,,Major,7/9/2020 7:37,TRUE,7/9/2020 7:38,2G_KLK020,,,
7706,,Major,7/9/2020 7:35,TRUE,7/9/2020 7:36,2G_KLK020,,,
7706,,Major,7/9/2020 7:33,TRUE,7/9/2020 7:34,2G_KLK020,,,
7706,,Major,7/9/2020 7:31,TRUE,7/9/2020 7:32,2G_KLK020,,,
7706,,Major,7/9/2020 7:30,TRUE,7/9/2020 7:31,2G_KLK020,,,
7706,,Major,7/9/2020 7:28,TRUE,7/9/2020 7:29,2G_KLK020,,,
7706,,Major,7/9/2020 7:28,FALSE,,2G_KLK046,,,
7706,,Major,7/9/2020 7:26,TRUE,7/9/2020 7:28,2G_KLK020,,,
7706,,Major,7/9/2020 7:25,TRUE,7/9/2020 7:25,2G_KLK020,,,
7706,,Major,7/9/2020 7:24,TRUE,7/9/2020 7:24,2G_KLK020,,,
7706,,Major,7/9/2020 7:23,TRUE,7/9/2020 7:23,2G_KLK020,,,
7786,,Major,7/9/2020 7:20,TRUE,7/9/2020 7:20,3G_ZG004,,,
7706,,Major,7/9/2020 7:19,TRUE,7/9/2020 7:20,2G_KLK020,,,
7706,,Major,7/9/2020 7:17,TRUE,7/9/2020 7:18,2G_KLK020,,,
7706,,Major,7/9/2020 7:15,TRUE,7/9/2020 7:17,2G_KLK020,,,
7706,,Major,7/9/2020 7:13,TRUE,7/9/2020 7:14,2G_KLK020,,,
7706,,Major,7/9/2020 7:11,TRUE,7/9/2020 7:13,2G_KLK020,,,
7706,,Major,7/9/2020 7:11,TRUE,7/9/2020 7:11,2G_KLK020,,,
7706,,Major,7/9/2020 7:10,TRUE,7/9/2020 7:10,2G_KLK020,,,
7706,,Major,7/9/2020 7:07,TRUE,7/9/2020 7:09,2G_KLK020,,,
7706,,Major,7/9/2020 7:05,TRUE,7/9/2020 7:06,2G_KLK020,,,
7786,,Major,7/9/2020 7:03,TRUE,7/9/2020 7:04,3G_ZG051,,,
7706,,Major,7/9/2020 7:02,TRUE,7/9/2020 7:04,2G_KLK020,,,
7706,,Major,7/9/2020 7:01,TRUE,7/9/2020 7:01,2G_KLK020,,,
7706,,Major,7/9/2020 6:58,TRUE,7/9/2020 7:00,2G_KLK020,,,
7706,,Major,7/9/2020 6:56,TRUE,7/9/2020 6:57,2G_KLK020,,,
7706,,Major,7/9/2020 6:54,TRUE,7/9/2020 6:55,2G_KLK020,,,
7706,,Major,7/9/2020 6:53,TRUE,7/9/2020 6:54,2G_KLK020,,,
7706,,Major,7/9/2020 6:52,TRUE,7/9/2020 6:52,2G_KLK020,,,
7706,,Major,7/9/2020 6:51,TRUE,7/9/2020 6:51,2G_KLK020,,,
7706,,Major,7/9/2020 6:49,TRUE,7/9/2020 6:50,2G_KLK020,,,
7706,,Major,7/9/2020 6:47,TRUE,7/9/2020 6:49,2G_KLK020,,,
7706,,Major,7/9/2020 6:44,TRUE,7/9/2020 6:44,2G_KLK020,,,
7706,,Major,7/9/2020 6:42,TRUE,7/9/2020 6:43,2G_KLK020,,,
7706,,Major,7/9/2020 6:40,TRUE,7/9/2020 6:41,2G_KLK020,,,
7706,,Major,7/9/2020 6:39,TRUE,7/9/2020 6:39,2G_KLK020,,,
7706,,Major,7/9/2020 6:35,TRUE,7/9/2020 6:35,2G_KLK048,,,
7706,,Major,7/9/2020 6:30,TRUE,7/9/2020 6:30,2G_KLK020,,,
7706,,Major,7/9/2020 6:28,TRUE,7/9/2020 6:29,2G_KLK020,,,
7706,,Major,7/9/2020 6:25,TRUE,7/9/2020 6:27,2G_KLK020,,,
7706,,Major,7/9/2020 6:23,TRUE,7/9/2020 6:23,2G_KLK020,,,
7706,,Major,7/9/2020 6:21,TRUE,7/9/2020 6:22,2G_KLK020,,,
7706,,Major,7/9/2020 6:15,TRUE,7/9/2020 6:16,2G_KLK020,,,
7706,,Major,7/9/2020 6:13,TRUE,7/9/2020 6:13,2G_KLK020,,,
7706,,Major,7/9/2020 6:11,TRUE,7/9/2020 6:12,2G_KLK020,,,
7706,,Major,7/9/2020 6:10,TRUE,7/9/2020 6:10,2G_KLK020,,,
7706,,Major,7/9/2020 6:08,TRUE,7/9/2020 6:09,2G_KLK020,,,
7706,,Major,7/9/2020 6:07,TRUE,7/9/2020 6:08,2G_KLK020,,,
7706,,Major,7/9/2020 6:06,TRUE,7/9/2020 6:06,2G_KLK020,,,
7706,,Major,7/9/2020 6:05,TRUE,7/9/2020 6:05,2G_KLK020,,,
7706,,Major,7/9/2020 6:03,TRUE,7/9/2020 6:04,2G_KLK020,,,
7706,,Major,7/9/2020 5:59,TRUE,7/9/2020 6:00,2G_KLK020,,,
7706,,Major,7/9/2020 5:55,TRUE,7/9/2020 5:56,2G_KLK020,,,
7786,,Major,7/9/2020 5:54,TRUE,7/9/2020 5:55,3G_ZG002,,,
7786,,Major,7/9/2020 5:54,TRUE,7/9/2020 5:55,3G_ZG052,,,
7706,,Major,7/9/2020 5:51,TRUE,7/9/2020 5:52,2G_KLK020,,,
7706,,Major,7/9/2020 5:47,TRUE,7/9/2020 5:48,2G_KLK020,,,
7706,,Major,7/9/2020 5:45,TRUE,7/9/2020 5:47,2G_KLK020,,,
7706,,Major,7/9/2020 5:44,TRUE,7/9/2020 5:45,2G_KLK020,,,
7706,,Major,7/9/2020 5:42,TRUE,7/9/2020 5:43,2G_KLK020,,,
7706,,Major,7/9/2020 5:40,TRUE,7/9/2020 5:41,2G_KLK020,,,
7706,,Major,7/9/2020 5:39,TRUE,7/9/2020 5:39,2G_KLK020,,,
7786,,Major,7/9/2020 5:38,TRUE,7/9/2020 5:38,3G_ZG004,,,
7786,,Major,7/9/2020 5:37,TRUE,7/9/2020 5:38,3G_ZG052,,,
7786,,Major,7/9/2020 5:37,TRUE,7/9/2020 5:37,3G_ZG004,,,
7786,,Major,7/9/2020 5:36,TRUE,7/9/2020 5:38,3G_ZG002,,,
7786,,Major,7/9/2020 5:36,TRUE,7/9/2020 5:38,3G_ZG051,,,
7786,,Major,7/9/2020 5:36,TRUE,7/9/2020 5:38,3G_ZG050,,,
7786,,Major,7/9/2020 5:36,TRUE,7/9/2020 5:38,3G_ZG001,,,
7706,,Major,7/9/2020 5:32,TRUE,7/9/2020 5:32,2G_KLK020,,,
7706,,Major,7/9/2020 5:27,TRUE,7/9/2020 5:28,2G_KLK020,,,
7706,,Major,7/9/2020 5:25,TRUE,7/9/2020 5:26,2G_KLK020,,,
7706,,Major,7/9/2020 5:23,TRUE,7/9/2020 5:23,2G_KLK020,,,
7786,,Major,7/9/2020 5:21,TRUE,7/9/2020 5:22,3G_ZG004,,,
7786,,Major,7/9/2020 5:21,TRUE,7/9/2020 5:22,3G_ZG052,,,
7786,,Major,7/9/2020 5:21,TRUE,7/9/2020 5:22,3G_ZG050,,,
7786,,Major,7/9/2020 5:21,TRUE,7/9/2020 5:22,3G_ZG051,,,
7706,,Major,7/9/2020 5:21,TRUE,7/9/2020 5:22,2G_KLK020,,,
7706,,Major,7/9/2020 5:19,TRUE,7/9/2020 5:20,2G_KLK020,,,
7706,,Major,7/9/2020 5:16,TRUE,7/9/2020 5:16,2G_KLK020,,,
7786,,Major,7/9/2020 5:10,TRUE,7/9/2020 5:11,3G_ZG051,,,
7786,,Major,7/9/2020 5:10,TRUE,7/9/2020 5:11,3G_ZG052,,,
7786,,Major,7/9/2020 5:10,TRUE,7/9/2020 5:11,3G_ZG001,,,
7786,,Major,7/9/2020 5:10,TRUE,7/9/2020 5:11,3G_ZG002,,,
7786,,Major,7/9/2020 5:10,TRUE,7/9/2020 5:11,3G_ZG050,,,
7786,,Major,7/9/2020 5:10,TRUE,7/9/2020 5:11,3G_ZG004,,,
7706,,Major,7/9/2020 5:03,TRUE,7/9/2020 5:03,2G_KLK020,,,
7786,,Major,7/9/2020 4:59,TRUE,7/9/2020 5:00,3G_ZG002,,,
7786,,Major,7/9/2020 4:59,TRUE,7/9/2020 5:00,3G_ZG052,,,
7786,,Major,7/9/2020 4:59,TRUE,7/9/2020 5:00,3G_ZG050,,,
7786,,Major,7/9/2020 4:59,TRUE,7/9/2020 5:00,3G_ZG051,,,
7706,,Major,7/9/2020 4:58,TRUE,7/9/2020 4:59,2G_KLK020,,,
7706,,Major,7/9/2020 4:55,TRUE,7/9/2020 4:56,2G_KLK020,,,
7786,,Major,7/9/2020 4:53,TRUE,7/9/2020 4:54,3G_ZG004,,,
7786,,Major,7/9/2020 4:53,TRUE,7/9/2020 4:54,3G_ZG002,,,
7786,,Major,7/9/2020 4:53,TRUE,7/9/2020 4:54,3G_ZG001,,,
7786,,Major,7/9/2020 4:53,TRUE,7/9/2020 4:54,3G_ZG051,,,
7786,,Major,7/9/2020 4:53,TRUE,7/9/2020 4:54,3G_ZG052,,,
7786,,Major,7/9/2020 4:53,TRUE,7/9/2020 4:54,3G_ZG050,,,
7706,,Major,7/9/2020 4:49,TRUE,7/9/2020 4:53,2G_KLK020,,,
7706,,Major,7/9/2020 4:47,TRUE,7/9/2020 4:48,2G_KLK020,,,
7706,,Major,7/9/2020 4:45,TRUE,7/9/2020 4:45,2G_KLK020,,,
7706,,Major,7/9/2020 4:44,TRUE,7/9/2020 4:44,2G_KLK020,,,
7706,,Major,7/9/2020 4:41,TRUE,7/9/2020 4:42,2G_KLK020,,,
7706,,Major,7/9/2020 4:40,TRUE,7/9/2020 4:41,2G_KLK020,,,
7706,,Major,7/9/2020 4:39,TRUE,7/9/2020 4:40,2G_KLK020,,,
7706,,Major,7/9/2020 4:36,TRUE,7/9/2020 4:38,2G_KLK020,,,
7706,,Major,7/9/2020 4:32,TRUE,7/9/2020 4:33,2G_KLK020,,,
7706,,Major,7/9/2020 4:30,TRUE,7/9/2020 4:31,2G_KLK020,,,
7706,,Major,7/9/2020 4:28,TRUE,7/9/2020 4:29,2G_KLK020,,,
7706,,Major,7/9/2020 4:26,TRUE,7/9/2020 4:26,2G_KLK020,,,
7706,,Major,7/9/2020 4:22,TRUE,7/9/2020 4:22,2G_KLK020,,,
7706,,Major,7/9/2020 4:16,TRUE,7/9/2020 4:18,2G_KLK020,,,
7706,,Major,7/9/2020 4:15,TRUE,7/9/2020 4:15,2G_KLK020,,,
7706,,Major,7/9/2020 4:11,TRUE,7/9/2020 4:11,2G_ZG051,,,
7706,,Major,7/9/2020 4:11,TRUE,7/9/2020 4:11,2G_ZG028,,,
7706,,Major,7/9/2020 4:11,TRUE,7/9/2020 4:11,2G_ZG004,,,
7706,,Major,7/9/2020 4:11,TRUE,7/9/2020 4:11,2G_ZG050,,,
7706,,Major,7/9/2020 4:11,TRUE,7/9/2020 4:11,2G_ZG002,,,
7786,,Major,7/9/2020 4:10,TRUE,7/9/2020 4:11,3G_ZG050,,,
7706,,Major,7/9/2020 4:07,TRUE,7/9/2020 4:09,2G_KLK020,,,
7706,,Major,7/9/2020 4:05,TRUE,7/9/2020 4:07,2G_KLK020,,,
7706,,Major,7/9/2020 4:04,TRUE,7/9/2020 4:04,2G_KLK020,,,
7706,,Major,7/9/2020 4:01,TRUE,7/9/2020 4:02,2G_KLK020,,,
7706,,Major,7/9/2020 3:59,TRUE,7/9/2020 4:00,2G_KLK020,,,
7706,,Major,7/9/2020 3:58,TRUE,7/9/2020 3:58,2G_KLK020,,,
7706,,Major,7/9/2020 3:56,TRUE,7/9/2020 3:57,2G_KLK020,,,
7706,,Major,7/9/2020 3:53,TRUE,7/9/2020 3:54,2G_KLK020,,,
7706,,Major,7/9/2020 3:52,TRUE,7/9/2020 3:52,2G_KLK020,,,
7706,,Major,7/9/2020 3:47,TRUE,7/9/2020 3:50,2G_KLK020,,,
7706,,Major,7/9/2020 3:45,TRUE,7/9/2020 3:46,2G_KLK020,,,
7706,,Major,7/9/2020 3:44,TRUE,7/9/2020 3:45,2G_KLK020,,,
7706,,Major,7/9/2020 3:42,TRUE,7/9/2020 3:43,2G_KLK020,,,
7706,,Major,7/9/2020 3:36,TRUE,7/9/2020 3:38,2G_KLK020,,,
7706,,Major,7/9/2020 3:34,TRUE,7/9/2020 3:35,2G_KLK020,,,
7706,,Major,7/9/2020 3:32,TRUE,7/9/2020 3:33,2G_KLK020,,,
7706,,Major,7/9/2020 3:28,TRUE,7/9/2020 3:31,2G_KLK020,,,
7706,,Major,7/9/2020 3:27,TRUE,7/9/2020 3:27,2G_KLK020,,,
7706,,Major,7/9/2020 3:26,TRUE,7/9/2020 3:26,2G_KLK020,,,
7706,,Major,7/9/2020 3:23,TRUE,7/9/2020 3:25,2G_KLK020,,,
7706,,Major,7/9/2020 3:22,TRUE,7/9/2020 3:22,2G_KLK020,,,
7786,,Major,7/9/2020 3:21,TRUE,7/9/2020 3:22,3G_ZG004,,,
7786,,Major,7/9/2020 3:21,TRUE,7/9/2020 3:22,3G_ZG002,,,
7786,,Major,7/9/2020 3:21,TRUE,7/9/2020 3:22,3G_ZG050,,,
7786,,Major,7/9/2020 3:21,TRUE,7/9/2020 3:22,3G_ZG052,,,
7706,,Major,7/9/2020 3:20,TRUE,7/9/2020 3:21,2G_KLK020,,,
7706,,Major,7/9/2020 3:18,TRUE,7/9/2020 3:19,2G_KLK020,,,
7706,,Major,7/9/2020 3:16,TRUE,7/9/2020 3:17,2G_KLK020,,,
7706,,Major,7/9/2020 3:12,TRUE,7/9/2020 3:13,2G_KLK020,,,
7706,,Major,7/9/2020 3:11,TRUE,7/9/2020 3:12,2G_KLK020,,,
7706,,Major,7/9/2020 3:10,TRUE,7/9/2020 3:10,2G_KLK020,,,
7706,,Major,7/9/2020 3:07,TRUE,7/9/2020 3:09,2G_KLK020,,,
7706,,Major,7/9/2020 3:06,TRUE,7/9/2020 3:06,2G_KLK020,,,
7706,,Major,7/9/2020 3:04,TRUE,7/9/2020 3:05,2G_KLK020,,,
7706,,Major,7/9/2020 3:03,TRUE,7/9/2020 3:03,2G_KLK020,,,
7706,,Major,7/9/2020 3:00,TRUE,7/9/2020 3:01,2G_KLK020,,,
7706,,Major,7/9/2020 2:59,TRUE,7/9/2020 3:00,2G_KLK020,,,
7706,,Major,7/9/2020 2:58,TRUE,7/9/2020 2:59,2G_KLK020,,,
7706,,Major,7/9/2020 2:57,TRUE,7/9/2020 2:57,2G_KLK020,,,
7706,,Major,7/9/2020 2:54,TRUE,7/9/2020 2:56,2G_KLK020,,,
7706,,Major,7/9/2020 2:53,TRUE,7/9/2020 2:53,2G_KLK020,,,
7706,,Major,7/9/2020 2:51,TRUE,7/9/2020 2:52,2G_KLK020,,,
7706,,Major,7/9/2020 2:47,TRUE,7/9/2020 2:48,2G_KLK020,,,
7706,,Major,7/9/2020 2:46,TRUE,7/9/2020 2:46,2G_KLK020,,,
7706,,Major,7/9/2020 2:45,TRUE,7/9/2020 2:45,2G_KLK020,,,
7706,,Major,7/9/2020 2:43,TRUE,7/9/2020 2:43,2G_KLK020,,,
7786,,Major,7/9/2020 2:41,TRUE,7/9/2020 2:42,3G_ZG002,,,
7706,,Major,7/9/2020 2:40,TRUE,7/9/2020 2:42,2G_KLK020,,,
7706,,Major,7/9/2020 2:39,TRUE,7/9/2020 2:40,2G_KLK020,,,
7706,,Major,7/9/2020 2:38,TRUE,7/9/2020 2:38,2G_KLK020,,,
7706,,Major,7/9/2020 2:36,TRUE,7/9/2020 2:37,2G_KLK020,,,
7706,,Major,7/9/2020 2:35,TRUE,7/9/2020 2:35,2G_KLK020,,,
7706,,Major,7/9/2020 2:33,TRUE,7/9/2020 2:34,2G_KLK020,,,
7706,,Major,7/9/2020 2:32,TRUE,7/9/2020 2:33,2G_KLK020,,,
7706,,Major,7/9/2020 2:29,TRUE,7/9/2020 2:31,2G_KLK020,,,
7706,,Major,7/9/2020 2:27,TRUE,7/9/2020 2:28,2G_KLK020,,,
7706,,Major,7/9/2020 2:25,TRUE,7/9/2020 2:26,2G_KLK020,,,
7786,,Major,7/9/2020 2:25,TRUE,7/9/2020 2:25,3G_ZG002,,,
7786,,Major,7/9/2020 2:25,TRUE,7/9/2020 2:25,3G_ZG051,,,
7786,,Major,7/9/2020 2:25,TRUE,7/9/2020 2:25,3G_ZG004,,,
7786,,Major,7/9/2020 2:25,TRUE,7/9/2020 2:25,3G_ZG052,,,
7706,,Major,7/9/2020 2:24,TRUE,7/9/2020 2:24,2G_KLK020,,,
7706,,Major,7/9/2020 2:22,TRUE,7/9/2020 2:23,2G_KLK020,,,
7706,,Major,7/9/2020 2:20,TRUE,7/9/2020 2:21,2G_KLK020,,,
7706,,Major,7/9/2020 2:17,TRUE,7/9/2020 2:18,2G_KLK020,,,
7706,,Major,7/9/2020 2:15,TRUE,7/9/2020 2:15,2G_KLK020,,,
7706,,Major,7/9/2020 2:13,TRUE,7/9/2020 2:14,2G_KLK020,,,
7786,,Major,7/9/2020 2:12,TRUE,7/9/2020 2:13,3G_ZG004,,,
7706,,Major,7/9/2020 2:10,TRUE,7/9/2020 2:10,2G_KLK020,,,
7706,,Major,7/9/2020 2:07,TRUE,7/9/2020 2:08,2G_KLK020,,,
7706,,Major,7/9/2020 2:05,TRUE,7/9/2020 2:06,2G_KLK020,,,
7706,,Major,7/9/2020 2:03,TRUE,7/9/2020 2:05,2G_KLK020,,,
7706,,Major,7/9/2020 2:01,TRUE,7/9/2020 2:02,2G_KLK020,,,
7706,,Major,7/9/2020 1:59,TRUE,7/9/2020 2:00,2G_KLK020,,,
7706,,Major,7/9/2020 1:57,TRUE,7/9/2020 1:59,2G_KLK020,,,
7706,,Major,7/9/2020 1:52,TRUE,7/9/2020 1:53,2G_KLK020,,,
7706,,Major,7/9/2020 1:48,TRUE,7/9/2020 1:50,2G_KLK020,,,
7706,,Major,7/9/2020 1:46,TRUE,7/9/2020 1:48,2G_KLK020,,,
7706,,Major,7/9/2020 1:45,TRUE,7/9/2020 1:46,2G_KLK020,,,
7706,,Major,7/9/2020 1:43,TRUE,7/9/2020 1:44,2G_KLK020,,,
7706,,Major,7/9/2020 1:41,TRUE,7/9/2020 1:42,2G_KLK020,,,
7706,,Major,7/9/2020 1:39,TRUE,7/9/2020 1:40,2G_KLK020,,,
7706,,Major,7/9/2020 1:38,TRUE,7/9/2020 1:38,2G_KLK020,,,
7706,,Major,7/9/2020 1:37,TRUE,7/9/2020 1:37,2G_KLK020,,,
7706,,Major,7/9/2020 1:33,TRUE,7/9/2020 1:35,2G_KLK020,,,
7706,,Major,7/9/2020 1:31,TRUE,7/9/2020 1:31,2G_KLK020,,,
7706,,Major,7/9/2020 1:29,TRUE,7/9/2020 1:30,2G_KLK020,,,
7706,,Major,7/9/2020 1:27,TRUE,7/9/2020 1:28,2G_KLK020,,,
7706,,Major,7/9/2020 1:25,TRUE,7/9/2020 1:26,2G_KLK020,,,
7706,,Major,7/9/2020 1:23,TRUE,7/9/2020 1:24,2G_KLK020,,,
7706,,Major,7/9/2020 1:20,TRUE,7/9/2020 1:22,2G_KLK020,,,
7706,,Major,7/9/2020 1:15,TRUE,7/9/2020 1:18,2G_KLK020,,,
7706,,Major,7/9/2020 1:14,TRUE,7/9/2020 1:15,2G_KLK020,,,
7706,,Major,7/9/2020 1:12,TRUE,7/9/2020 1:13,2G_KLK020,,,
7706,,Major,7/9/2020 1:10,TRUE,7/9/2020 1:11,2G_KLK020,,,
